"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"December 2","Wow seriously snow in November😲 unexpectedly early ye winter snow tahun ni ㅋㅋㅋ #internationalstudent #studyinkorea #winterinkorea #updatecuaca #weatherinkorea ","https://www.tiktok.com/@kaydeeloka/video/7441746001217506567","November 27","908","93","320","26453"
"December 2","Nak snap banyak lagi tapi fon dah full storage hahahaha. Tahun ni autumn lambat snow pula awal. Pokok semua tak habis gugur lagi dia dah turun munculkan diri. Supposedly kalau pokok dah fully gugur dia akan jadi cantik putih crystal gitu but since daun ada lagi so background pon adalah warna-warni sokit ㅋㅋㅋ  #studyinkorea #kaydeeventure #sejongstudent #kaydeedikorea #internationalstudent ","https://www.tiktok.com/@kaydeeloka/video/7441917806356090130","November 27","722","41","52","10996"
"December 2","Get ready for our first snow guyss tapi biasanya first snow tak lebat sangat. Apapon stay healthy hujan2 ni sejukkk #koreamalaysia #winterinkorea #kaydeeventure #studyinkorea #internationalstudent ","https://www.tiktok.com/@kaydeeloka/video/7441385638127045906","November 26","247","28","151","9164"
"December 2","bila kau excited nak main snow tapi kena pergi kelas hahaha.  #weatherinkorea #snowyday  #kaydeeventure #winterinkorea #studyinkorea #kaydeedikorea  #internationalstudent #fyp ","https://www.tiktok.com/@kaydeeloka/video/7441790975158045960","November 27","475","49","84","8758"
"December 2","boleh dengar asmr kasutku berjalan atas laluan berair ye hahahha. good news harini ada sunlight so suhu takdelah gloomy sangat macam semalam. #internationalstudent #fyp  #kaydeedikorea #sejongstudent #kaydeeventure #studyinkorea #winterinkorea #updatecuaca ","https://www.tiktok.com/@kaydeeloka/video/7442207072155995410","November 28","223","27","55","7740"
"December 2","Winter was nice despite the cold weather. Saya jenis tangan and muka auto beku bila keluar rumah, so I always wear gloves and scarf to keep myself warm. #kaydeeventure #winterinkorea #kaydeedikorea #travelkorea🇰🇷 ","https://www.tiktok.com/@kaydeeloka/video/7439584076341808392","November 21","297","31","80","11566"
"December 2","Replying to @_91fara kalau takde idea juga, boleh refer pinterest atau tengoklah outfit winter in korea dekat google or tiktok for inspiration okay^^ #kaydeeventure  #kaydeedikorea #coldweather #winterseason #outfitideas #fashiontiktok #travelkorea🇰🇷 ","https://www.tiktok.com/@kaydeeloka/video/7436577022589144338","November 13","471","41","130","25993"
"December 2","Replying to @rzingah sejujurnya saya pon tak tahan sejuk but tips pakai glove dan scarf memang sangat membantu to keep me warm. #winterseason #kaydeeventure #fypシ #fyp #fourseason ","https://www.tiktok.com/@kaydeeloka/video/7425228198130044168","October 13","1090","138","453","52796"
"December 2","Hotpack pon ada teknik nak bagi dia panas tau. Boleh baca arahan nanti, kalau sekadar buka je dia tak jadi. #kaydeeventure #fypage #fyp #coldweather #hotpack #winterseason #daisokorea ","https://www.tiktok.com/@kaydeeloka/video/7437451875781414152","November 15","647","35","262","20310"
"December 2","dah masuk cuaca musim sejuk guys. Yang datang minggu depan tu silalah bawa outer tebal and padding ye. #kaydeeventure #travelkorea #travelkorea🇰🇷 #fypage #fyp ","https://www.tiktok.com/@kaydeeloka/video/7438823713845366023","November 19","452","39","142","20190"
"December 2","My 8 months of tennis journey. Sooo proud of myself that I can do half rally and coach also said I'm improved as now I can catch if balls thrown to my weak spots #tennis #internationalstudent  #kaydeedikorea #sejongstudent  #kaydeeventure #studyinkorea ","https://www.tiktok.com/@kaydeeloka/video/7441909454016154898","November 27","78","3","1","3596"
"December 2","Replying to @syafiqaziziikram I learned this tips from my Korean friend, boleh cuba but ingat ye wajib 3 layer and ni untuk suhu above 0°C sahaja! I advise please check! kalau jenis suhu aircond pon tak tahan, jadi silalah bawa outer tebal ye. #coldweather #kaydeeventure #kaydeedikorea #travelkorea #fypage #fyp ","https://www.tiktok.com/@kaydeeloka/video/7439173548230315282","November 20","269","31","51","13736"
"December 2","One of my favorite glove pon beli from daiso sebab dia dual boleh keluar jari and bertutup👍🏻 #winterseason #daisoinkorea #kaydeeventure #daiso #fyp ","https://www.tiktok.com/@kaydeeloka/video/7429715461358636296","October 25","849","34","493","28659"
"December 2","pejam celik pejam celik tahu2 esok dah last day untuk bulan 11. Cepat betul masa berlalu ye. #updatecuaca #winterinkorea #studyinkorea #kaydeeventure #kaydeedikorea #coldweather ","https://www.tiktok.com/@kaydeeloka/video/7442633165061098760","November 29","134","21","11","5175"
"December 2","Replying to @goodmoon.studio  nothing difference but during winter I used hand cream a lot especially when my hand are dry. #internationalstudent #studyinkorea #kaydeedikorea #kaydeeventure #winterinkorea  #koreamalaysia ","https://www.tiktok.com/@kaydeeloka/video/7441025868274732306","November 25","81","15","4","3224"
