"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"December 2","Wow seriously snow in November😲 unexpectedly early ye winter snow tahun ni ㅋㅋㅋ #internationalstudent #studyinkorea #winterinkorea #updatecuaca #weatherinkorea ","https://www.tiktok.com/@kaydeeloka/video/7441746001217506567","November 27","908","93","320","26453"
"December 2","Replying to @_91fara kalau takde idea juga, boleh refer pinterest atau tengoklah outfit winter in korea dekat google or tiktok for inspiration okay^^ #kaydeeventure  #kaydeedikorea #coldweather #winterseason #outfitideas #fashiontiktok #travelkorea🇰🇷 ","https://www.tiktok.com/@kaydeeloka/video/7436577022589144338","November 13","471","41","130","25993"
"December 2","dah masuk cuaca musim sejuk guys. Yang datang minggu depan tu silalah bawa outer tebal and padding ye. #kaydeeventure #travelkorea #travelkorea🇰🇷 #fypage #fyp ","https://www.tiktok.com/@kaydeeloka/video/7438823713845366023","November 19","452","39","142","20190"
"December 2","Hotpack pon ada teknik nak bagi dia panas tau. Boleh baca arahan nanti, kalau sekadar buka je dia tak jadi. #kaydeeventure #fypage #fyp #coldweather #hotpack #winterseason #daisokorea ","https://www.tiktok.com/@kaydeeloka/video/7437451875781414152","November 15","647","35","262","20310"
"December 2","Sekarang dah masuk suhu winter, make sure bawa kelengkapan baju untuk musim sejuk ye. #studyinkorea #sejong #kaydeeventure #travelkorea🇰🇷 #fyp #fypage ","https://www.tiktok.com/@kaydeeloka/video/7438427247993801991","November 18","465","54","293","17360"
"December 2","Replying to @rzingah sejujurnya saya pon tak tahan sejuk but tips pakai glove dan scarf memang sangat membantu to keep me warm. #winterseason #kaydeeventure #fypシ #fyp #fourseason ","https://www.tiktok.com/@kaydeeloka/video/7425228198130044168","October 13","1090","138","453","52796"
"December 2","jarak waktu solat masa winter sekejap betul ye. Saya still lagi tak biasa dengan malam yang panjang hahahaha #kaydeeventure #travelkorea🇰🇷  #winterseason #fyp #fypage ","https://www.tiktok.com/@kaydeeloka/video/7437808521804041479","November 16","606","36","153","14887"
"December 2","Replying to @eqahhuhu97 in the end it's depends on how you feel about the weather since everyone have different preferences on how cold the weather yang dia boleh tahan. #travelkorea #fyp #fypシ #ootd #layeringoutfits #traveltiktok ","https://www.tiktok.com/@kaydeeloka/video/7434381112450764039","November 7","312","24","63","14244"
"December 2","Replying to @syafiqaziziikram I learned this tips from my Korean friend, boleh cuba but ingat ye wajib 3 layer and ni untuk suhu above 0°C sahaja! I advise please check! kalau jenis suhu aircond pon tak tahan, jadi silalah bawa outer tebal ye. #coldweather #kaydeeventure #kaydeedikorea #travelkorea #fypage #fyp ","https://www.tiktok.com/@kaydeeloka/video/7439173548230315282","November 20","269","31","51","13736"
"December 2","dengar bunyi angin pon tahu kuat. Baru keluar 10min but I can feel my hand sejuk macam duduk dalam peti ais. #kaydeeventure #updatecuaca  #kaydeedikorea #traveltiktok  #weatherinkorea #autumnvibes ","https://www.tiktok.com/@kaydeeloka/video/7433385237536673042","November 4","361","62","195","12023"
"December 2","bermulalah episod berbaju tebal, hidung berair, tangan kesejukan hahhaha. katanya suhu bawah 15°C until sabtu ni je nanti dia naik balik 17°C but still we donno. #kaydeeventure #traveltiktok  #kaydeedikorea #updatecuaca  #travelkorea #sejong #fyp #fypシ ","https://www.tiktok.com/@kaydeeloka/video/7433982907238190343","November 6","377","45","255","12030"
"December 2","nampaklah famous betul tempat ni penuh dengan orang lalu lalang sana sini😂 #autumnvibes #weatherinkorea #traveltiktok #updatecuaca #kaydeedikorea #deoksugung  #kaydeeventure ","https://www.tiktok.com/@kaydeeloka/video/7433818423035038994","November 6","355","27","121","11873"
"December 2","One of my favorite glove pon beli from daiso sebab dia dual boleh keluar jari and bertutup👍🏻 #winterseason #daisoinkorea #kaydeeventure #daiso #fyp ","https://www.tiktok.com/@kaydeeloka/video/7429715461358636296","October 25","849","34","493","28659"
"December 2","Winter was nice despite the cold weather. Saya jenis tangan and muka auto beku bila keluar rumah, so I always wear gloves and scarf to keep myself warm. #kaydeeventure #winterinkorea #kaydeedikorea #travelkorea🇰🇷 ","https://www.tiktok.com/@kaydeeloka/video/7439584076341808392","November 21","297","31","80","11566"
"December 2","Nak snap banyak lagi tapi fon dah full storage hahahaha. Tahun ni autumn lambat snow pula awal. Pokok semua tak habis gugur lagi dia dah turun munculkan diri. Supposedly kalau pokok dah fully gugur dia akan jadi cantik putih crystal gitu but since daun ada lagi so background pon adalah warna-warni sokit ㅋㅋㅋ  #studyinkorea #kaydeeventure #sejongstudent #kaydeedikorea #internationalstudent ","https://www.tiktok.com/@kaydeeloka/video/7441917806356090130","November 27","722","41","52","10996"
