Date,Task,Category,Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Not Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Not Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Not Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Not Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Not Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Not Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Not Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Not Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Completed
2024-12-03,fdfsfdfsdsd,Work,Not Completed
2024-12-02,fdsfafsas,Work,Completed
2024-12-02,fdsfafsas,Work,Completed
2024-12-02,fdsfafsas,Work,Completed
2024-12-02,fdsfafsas,Work,Completed
2024-12-02,fdsfafsas,Work,Completed
2024-12-02,fdsfafsas,Work,Completed
2024-12-02,fdsfafsas,Work,Completed
2024-12-02,fdsfafsas,Work,Completed
2024-12-02,fdsfafsas,Work,Completed
2024-12-02,fdsfafsas,Work,Completed
2024-12-02,fdsfafsas,Work,Completed
2024-12-02,fdsfafsas,Work,Completed
2024-12-02,fdsfafsas,Work,Completed
2024-12-02,fdsfafsas,Work,Completed
2024-12-02,fdsfafsas,Work,Completed
